Question,main,A,B,C,D,E,F,G,Answer
Question #449 Topic 1 ,Which of the following application password cracking tool can discover all password-protected items on a computer and decrypts them?,TestDisk for Windows ,R-Studio ,Windows Password Recovery Bootdisk ,Passware Kit Forensic ,,,,Passware Kit Forensic 
Question #450 Topic 1 ,An investigator has found certain details after analysis of a mobile device. What can reveal the manufacturer information?,Equipment Identity Register (EIR) ,Electronic Serial Number (ESN) ,International mobile subscriber identity (IMSI) ,Integrated circuit card identifier (ICCID) ,,,,Electronic Serial Number (ESN) 
Question #451 Topic 1 ,Which command line tool is used to determine active network connections?,netsh ,nbstat ,nslookup ,netstat ,,,,netstat 
Question #452 Topic 1 ,Which of the following processes is part of the dynamic malware analysis?,Process Monitoring ,Malware disassembly ,Searching for the strings ,File fingerprinting ,,,,Process Monitoring 
Question #453 Topic 1 ,Investigators can use the Type Allocation Code (TAC) to find the model and origin of a mobile device. Where is TAC located in mobile devices?,International Mobile Equipment Identifier (IMEI) ,Integrated circuit card identifier (ICCID) ,International mobile subscriber identity (IMSI) ,Equipment Identity Register (EIR) ,,,,International Mobile Equipment Identifier (IMEI) 
Question #454 Topic 1 ,What do you call the process in which an attacker uses magnetic field over the digital media device to delete any previously stored data?,Disk deletion ,Disk cleaning ,Disk degaussing ,Disk magnetization ,,,,Disk degaussing 
Question #455 Topic 1 ,Which of the following tool can reverse machine code to assembly language?,PEiD ,RAM Capturer ,IDA Pro ,Deep Log Analyzer ,,,,IDA Pro 
Question #456 Topic 1 ,Which of the following file formats allows the user to compress the acquired data as well as keep it randomly accessible?,Proprietary Format ,Generic Forensic Zip (gfzip) ,Advanced Forensic Framework 4 ,Advanced Forensics Format (AFF) ,,,,Generic Forensic Zip (gfzip) 
Question #457 Topic 1 ,"What is the investigator trying to view by issuing the command displayed in the following screenshot?
",List of services stopped ,List of services closed recently ,List of services recently started ,List of services installed ,,,,List of services installed 
Question #458 Topic 1 ,"Which layer of iOS architecture should a forensics investigator evaluate to analyze services such as Threading, File Access, Preferences, Networking and high- level features?",Core Services ,Media services ,Cocoa Touch ,Core OS ,,,,Core OS 
Question #459 Topic 1 ,Which command can provide the investigators with details of all the loaded modules on a Linux-based system?,list modules -a ,lsmod ,plist mod -a ,lsof -m ,,,,lsmod 
Question #460 Topic 1 ,"In a Linux-based system, what does the command `Last -F` display?",Login and logout times and dates of the system ,Last run processes ,Last functions performed ,Recently opened files ,,,,Login and logout times and dates of the system 
Question #461 Topic 1 ,Which of the following examinations refers to the process of providing the opposing side in a trial the opportunity to question a witness?,Cross Examination ,Direct Examination ,Indirect Examination ,Witness Examination ,,,,Cross Examination 
Question #462 Topic 1 ,Pick the statement which does not belong to the Rule 804. Hearsay Exceptions; Declarant Unavailable.,Statement of personal or family history ,Prior statement by witness ,Statement against interest ,Statement under belief of impending death ,,,,Statement under belief of impending death 
Question #463 Topic 1 ,Which of the following is a responsibility of the first responder?,Determine the severity of the incident ,Collect as much information about the incident as possible ,Share the collected information to determine the root cause ,Document the findings ,,,,Collect as much information about the incident as possible 
Question #464 Topic 1 ,NTFS sets a flag for the file once you encrypt it and creates an EFS attribute where it stores Data Decryption Field (DDF) and Data Recovery Field (DDR). Which of the following is not a part of DDF?,Encrypted FEK ,Checksum ,EFS Certificate Hash ,Container Name ,,,,Checksum 
Question #465 Topic 1 ,"If the partition size is 4 GB, each cluster will be 32 K. Even if a file needs only 10 K, the entire 32 K will be allocated, resulting in 22 K of ________.",Slack space ,Deleted space ,Sector space ,Cluster space ,,,,Slack space 
Question #466 Topic 1 ,"After suspecting a change in MS-Exchange Server storage archive, the investigator has analyzed it. Which of the following components is not an actual part of the archive?",PRIV.STM ,PUB.EDB ,PRIV.EDB ,PUB.STM ,,,,PUB.STM 
Question #467 Topic 1 ,Which of the following is a non-zero data that an application allocates on a hard disk cluster in systems running on Windows OS?,Sparse File ,Master File Table ,Meta Block Group ,Slack Space ,,,,Master File Table 
Question #468 Topic 1 ,Which of the following is a tool to reset Windows admin password?,R-Studio ,Windows Password Recovery Bootdisk ,Windows Data Recovery Software ,TestDisk for Windows ,,,,Windows Password Recovery Bootdisk 
Question #469 Topic 1 ,"Ron, a computer forensics expert, is investigating a case involving corporate espionage. He has recovered several mobile computing devices from the crime scene. One of the evidence that Ron possesses is a mobile phone from Nokia that was left in ON condition. Ron needs to recover the IMEI number of the device to establish the identity of the device owner. Which of the following key combinations can he use to recover the IMEI number?",#*06*# ,*#06# ,#06#* ,*IMEI# ,,,,*#06# 
Question #470 Topic 1 ,Select the data that a virtual memory would store in a Windows-based system.,Information or metadata of the files ,Documents and other files ,Application data ,Running processes ,,,,Running processes 
Question #471 Topic 1 ,Which of the following does not describe the type of data density on a hard disk?,Volume density ,Track density ,Linear or recording density ,Areal density ,,,,Volume density 
Question #472 Topic 1 ,"Amelia has got an email from a well-reputed company stating in the subject line that she has won a prize money, whereas the email body says that she has to pay a certain amount for being eligible for the contest. Which of the following acts does the email breach?",CAN-SPAM Act ,HIPAA ,GLBA ,SOX ,,,,CAN-SPAM Act 
Question #473 Topic 1 ,"Which principle states that `anyone or anything, entering a crime scene takes something of the scene with them, and leaves something of themselves behind when they leave`?",Locard's Exchange Principle ,Enterprise Theory of Investigation ,Locard's Evidence Principle ,Evidence Theory of Investigation ,,,,Locard's Exchange Principle 
Question #474 Topic 1 ,"During an investigation, Noel found the following SIM card from the suspect's mobile. What does the code 89 44 represent?
",Issuer Identifier Number and TAC ,Industry Identifier and Country code ,Individual Account Identification Number and Country Code ,TAC and Industry Identifier ,,,,Industry Identifier and Country code 
Question #475 Topic 1 ,Which of the following file system uses Master File Table (MFT) database to store information about every file and directory on a volume?,FAT File System ,ReFS ,exFAT ,NTFS File System ,,,,NTFS File System 
Question #476 Topic 1 ,"As a part of the investigation, Caroline, a forensic expert, was assigned the task to examine the transaction logs pertaining to a database named Transfers. She used SQL Server Management Studio to collect the active transaction log files of the database. Caroline wants to extract detailed information on the logs, including AllocUnitId, page id, slot id, etc. Which of the following commands does she need to execute in order to extract the desired information?","DBCC LOG(Transfers, 1) ","DBCC LOG(Transfers, 3) ","DBCC LOG(Transfers, 0) ","DBCC LOG(Transfers, 2) ",,,,"DBCC LOG(Transfers, 2) "
Question #477 Topic 1 ,%3cscript%3ealert(`XXXXXXXX`)%3c/script%3e is a script obtained from a Cross-Site Scripting attack. What type of encoding has the attacker employed?,Double encoding ,Hex encoding ,Unicode ,Base64 ,,,,Hex encoding 
Question #478 Topic 1 ,Which of the following is a device monitoring tool?,Capsa ,Driver Detective ,Regshot ,RAM Capturer ,,,,Capsa 
Question #479 Topic 1 ,What system details can an investigator obtain from the NetBIOS name table cache?,List of files opened on other systems ,List of the system present on a router ,List of connections made to other systems ,List of files shared between the connected systems ,,,,List of connections made to other systems 
Question #480 Topic 1 ,"While analyzing a hard disk, the investigator finds that the file system does not use UEFI-based interface. Which of the following operating systems is present on the hard disk?",Windows 10 ,Windows 8 ,Windows 7 ,Windows 8.1 ,,,,Windows 7 
Question #481 Topic 1 ,In which registry does the system store the Microsoft security IDs?,HKEY_CLASSES_ROOT (HKCR) ,HKEY_CURRENT_CONFIG (HKCC) ,HKEY_CURRENT_USER (HKCU) ,HKEY_LOCAL_MACHINE (HKLM) ,,,,HKEY_LOCAL_MACHINE (HKLM) 
Question #482 Topic 1 ,"An investigator has extracted the device descriptor for a 1GB thumb drive that looks like: Disk&Ven_Best_Buy&Prod_Geek_Squad_U3&Rev_6.15. What does the
`Geek_Squad` part represent?",Product description ,Manufacturer Details ,Developer description ,Software or OS used ,,,,Product description 
